"MSW05_Order","MSW05_Family","MSW05_Genus","MSW05_Species","MSW05_Binomial","1-1_ActivityCycle","5-1_AdultBodyMass_g","8-1_AdultForearmLen_mm","13-1_AdultHeadBodyLen_mm","2-1_AgeatEyeOpening_d","3-1_AgeatFirstBirth_d","18-1_BasalMetRate_mLO2hr","5-2_BasalMetRateMass_g","6-1_DietBreadth","7-1_DispersalAge_d","9-1_GestationLen_d","12-1_HabitatBreadth","22-1_HomeRange_km2","22-2_HomeRange_Indiv_km2","14-1_InterbirthInterval_d","15-1_LitterSize","16-1_LittersPerYear","17-1_MaxLongevity_m","5-3_NeonateBodyMass_g","13-2_NeonateHeadBodyLen_mm","21-1_PopulationDensity_n/km2","10-1_PopulationGrpSize","23-1_SexualMaturityAge_d","10-2_SocialGrpSize","24-1_TeatNumber","12-2_Terrestriality","6-2_TrophicLevel","25-1_WeaningAge_d","5-4_WeaningBodyMass_g","13-3_WeaningHeadBodyLen_mm","References","5-5_AdultBodyMass_g_EXT","16-2_LittersPerYear_EXT","5-6_NeonateBodyMass_g_EXT","5-7_WeaningBodyMass_g_EXT","26-1_GR_Area_km2","26-2_GR_MaxLat_dd","26-3_GR_MinLat_dd","26-4_GR_MidRangeLat_dd","26-5_GR_MaxLong_dd","26-6_GR_MinLong_dd","26-7_GR_MidRangeLong_dd","27-1_HuPopDen_Min_n/km2","27-2_HuPopDen_Mean_n/km2","27-3_HuPopDen_5p_n/km2","27-4_HuPopDen_Change","28-1_Precip_Mean_mm","28-2_Temp_Mean_01degC","30-1_AET_Mean_mm","30-2_PET_Mean_mm"
"Artiodactyla","Camelidae","Camelus","dromedarius","Camelus dromedarius",3,402714.47,0,0,0,1651.62,40203,407000,3,0,386.51,1,106.32,0,614.41,0.08,1,480,36751.1,0,0.08,11,1047.04,10,0,1,1,380.38,0,0,"511;543;719;1274;1297;1594;1654;1822;1848;2655;3044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carnivora","Canidae","Canis","adustus","Canis adustus",1,10302.4,0,745.32,0,0,0,0,6,320,65,1,1.01,1.01,0,4.5,0,137,0,0,0.74,0,240.88,0,8,1,2,52.8,0,0,"542;543;730;1113;1297;1573;2655",0,0,0,0,10581413.14,16.72,28.73,6,43.55,17.53,13,0,35.2,1,0.14,0.75,236.51,22,1534.4
"Carnivora","Canidae","Canis","aureus","Canis aureus",2,658.7,0,827.53,7.5,0,0,0,6,0,61.24,1,2.05,3.13,365,3.74,0,102,211.82,0,0.22,0,371.23,0,8,1,2,61.3,0,0,"543;679;730;1113;1297;1573;2655",0,1.1,0,0,25730527.43,47,4.71,21.14,108.54,17.05,45.74,0,70.2,0,0.1,44.61,217.23,438.02,1358.08
"Carnivora","Canidae","Canis","latrans","Canis latrans",2,11080.1,0,872.3,11.04,365,3600,10450,1,255,61.74,1,18.88,10.01,365,5.72,0,262,200.01,0,0.25,0,372,0,8,1,3,43.71,0,0,"367;542;543;730;1113;1297;1573;1822;2655",0,1.1,0,0,17000004.3,71.3,8.02,30.7,67.07,168.12,117.6,0,27.27,0,0.06,53.03,58.18,503.02,728.37
"Carnivora","Canidae","Canis","lupus","Canis lupus",2,31756.51,0,1055,14.01,547.5,11254.2,33100,1,180,63.5,1,150.86,43.13,365,4.08,2,354,412.31,0,0.01,0,670.37,0,0,1,3,44.82,0,0,"367;542;543;730;1015;1052;1113;1297;1573;1594;2338;2655",0,0,0,0,50803430.7,83.27,11.48,47.38,170.65,171.84,3,0,37.87,0,0.04,34.7,4.82,313.33,561.11
"Artiodactyla","Bovidae","Bos","frontalis","Bos frontalis",2,800143.05,0,2700,0,0,0,0,3,0,273.75,0,0,0,403.02,1.22,1,314.4,22077.05,0,0.54,0,610.07,40,0,0,1,186.67,0,0,"511;543;730;899;1297;1525;1848;2655;2986",0,0,0,0,2204331.63,28.01,2.86,15.43,108.68,73.55,1.12,1,152.67,8,0,145.21,220.71,1053.45,1483.02
"Artiodactyla","Bovidae","Bos","grunniens","Bos grunniens",0,505,0,0,0,0,0,0,2,0,273.75,0,0,0,0,1,1,267,0,0,0,0,755.15,110,0,0,1,243.33,0,0,"511;899;1297;1525;1848;2655",0,0,0,0,1523540.07,38.88,20.66,34.27,0.23,75.01,87.57,0,2.03,0,0.05,30.41,50.31,246.2,732.74
"Artiodactyla","Bovidae","Bos","javanicus","Bos javanicus",2,635074.34,0,2075,0,12.5,0,0,2,0,206.78,1,0,0,0,1.22,1,318.06,0,0,0.75,21,707.31,40,0,1,1,287.74,0,0,"511;730;899;1297;1525;1848;2152;2655",0,0,0,0,1687020.66,25.08,8.78,8.15,118.35,4.04,106.64,1,130.21,4,0.11,187.6,230.18,1301.28,1502.26
"Primates","Pitheciidae","Callicebus","cupreus","Callicebus cupreus",3,1117.02,0,354,0,0,0,0,0,0,120.25,1,0,0,305.41,1.01,0,0,73.6,0,4.8,0,0,2.05,0,2,0,201.85,0,0,"1544;1547;1605;1633;1848;2151;2251;2344;2655;2986",0,1.05,0,0,600023.14,2.5,10.67,6.58,61.5,74.02,68.25,0,1.07,0,0.05,106.01,255.36,1520.55,1573.18
"Primates","Pitheciidae","Callicebus","discolor","Callicebus discolor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Primates","Pitheciidae","Callicebus","donacophilus","Callicebus donacophilus",3,807.67,0,0,0,0,0,0,0,0,0,1,0,0,0,1.02,0,0,0,0,0,0,0,1,0,2,0,0,0,0,"1547;1605;1633;2151;2655",0,0,0,0,288750.02,10.45,21.2,15.87,57.52,67.21,62.37,0,3.63,0,0.17,108.03,244.32,1238.1,1460.11
"Primates","Pitheciidae","Callicebus","dubius","Callicebus dubius",3,2.4,0,0,0,0,0,0,0,0,0,1,0,0,0,1.02,0,0,0,0,0,0,0,1,0,2,0,0,0,0,"1605;1633;2151;2655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Primates","Pitheciidae","Callicebus","hoffmannsi","Callicebus hoffmannsi",3,1067.61,0,0,0,0,0,0,0,0,0,1,0,0,0,1.02,0,0,0,0,0,0,0,1,0,2,0,0,0,0,"1547;1605;1633;2151;2655",0,0,0,0,8076.46,1.05,6,3.07,54.87,50.21,57.04,0,2.6,0,0.1,158.41,258.18,1417.63,1610.4
"Primates","Pitheciidae","Callicebus","lucifer","Callicebus lucifer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Primates","Pitheciidae","Callicebus","lugens","Callicebus lugens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Primates","Pitheciidae","Callicebus","medemi","Callicebus medemi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-999",0,0,0,0,36587.57,0.05,1.66,0.35,74.42,76.71,75.56,1,5.6,1,0.15,152.17,202.08,1435.56,1446.17
"Primates","Pitheciidae","Callicebus","melanochir","Callicebus melanochir",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-999",0,0,0,0,60407.71,12.83,18.16,15.5,38.72,40.46,30.5,7,46.03,11,0.08,137.48,232.78,1460.5,1650.42
"Primates","Pitheciidae","Callicebus","modestus","Callicebus modestus",3,2.4,0,0,0,0,0,0,0,0,0,1,0,0,0,1.02,0,0,0,0,0,0,0,1,0,2,0,0,0,0,"1605;1633;2151;2655",0,0,0,0,17288.42,14.25,15.67,14.06,65.03,67.3,66.66,1,2.76,1,0.47,110.01,225.42,1432.14,1548.82
"Didelphimorphia","Didelphidae","Caluromys","derbianus","Caluromys derbianus",1,326.72,0,231,0,0,215.11,344,3,0,0,1,0,0,0,3.14,0,60,0,0,11.86,0,251.71,1,0,2,2,0,0,0,"256;498;730;889;890;905;955;1297;1412;1822;2151;2655",0,0,0,0,678553.48,20.73,2.02,8,76.63,8.33,87.48,2,53.45,3,0.14,180.71,234.61,1341.7,1506.5
"Didelphimorphia","Didelphidae","Caluromys","lanatus","Caluromys lanatus",1,350.33,0,273.3,0,0,0,0,4,0,0,2,0,0,0,0,0,60,0,0,0,0,0,1,0,2,2,0,0,0,"543;889;890;905;2151;2655",0,0,0,0,3683731.12,0.07,28.1,0.51,53.2,77.3,65.2,0,5.36,0,0.13,175.31,245.5,1302.87,1501.45
"Didelphimorphia","Didelphidae","Caluromys","philander","Caluromys philander",1,246.47,0,224.27,75,334.58,0,0,4,0,23,2,6e-05,0.02,166.5,4.18,2,76,0.2,10,62.32,0,314.52,1,7,2,2,110.65,23,0,"133;256;543;730;889;890;905;955;1297;1533;1534;1573;1760;1773;2151;2159;2225;2431;2655",0,0,0,0,3212264.13,12.2,24.58,6.1,40.35,72.87,56.61,0,30.68,0,0.12,144.03,230.14,1356.51,1583.7
"Didelphimorphia","Didelphidae","Caluromysiops","irrupta","Caluromysiops irrupta",1,257.48,0,234.52,0,0,0,0,3,0,0,1,0,0,0,2,0,4,0,0,8.85,0,0,1,0,2,2,0,0,0,"543;730;889;905;1297;2151;2655",0,0,0,0,188864.44,0.34,12.6,11.01,61,73.48,67.73,0,3.51,0,0.27,180.06,246.03,1362.63,1563.51
"Cingulata","Dasypodidae","Calyptophractus","retusus","Calyptophractus retusus",0,120,0,157.5,0,0,0,0,4,0,0,2,0,0,0,0,0,144,0,0,0,0,0,0,0,1,2,0,0,0,"543;890;899;2151;2655",0,0,0,0,1081453.8,12.6,20.02,21.3,56.47,65.76,61.11,0,4.33,0,0.12,87.68,228.45,1016,1327.63
"Artiodactyla","Camelidae","Camelus","bactrianus","Camelus bactrianus",0,554515.01,0,0,0,1460,0,0,2,0,307,1,0,0,730,1.3,1,480,34346.64,0,0.06,0,1330.6,6.2,0,1,1,368.13,0,0,"511;543;600;719;899;1297;1848;2401;2655;2987",0,0,0,0,188603,44.71,37.08,41.34,7.58,0.75,4.17,0,1.83,0,0.01,0.04,53.72,66.85,612.43
"Artiodactyla","Bovidae","Bos","sauveli","Bos sauveli",2,701321.76,0,2175,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,755.15,20,0,1,1,0,0,0,"511;899;1525;1848;2655",0,0,0,0,115557.18,15.48,12.04,13.76,107.85,102.08,105.42,2,36.05,3,0.12,170.36,251.45,1144.18,1581.73
"Artiodactyla","Bovidae","Bos","taurus","Bos taurus",0,618642.42,0,0,0,0,0,0,0,0,280.48,0,10.04,0,0,0,1,240,0,0,0,0,755.15,0,0,0,0,0,0,0,"543;1052;1577;1594;1758;1848;2655",0,0,0,0,44447.62,15.08,11.85,13.46,108,107.08,108.04,2,42.48,3,0.15,174.04,228.73,1103.08,1450.23
"Artiodactyla","Bovidae","Boselaphus","tragocamelus","Boselaphus tragocamelus",0,182253.04,0,2000,0,12.5,0,0,5,0,248.4,0,0,0,400.5,1.3,0,260.4,5875,0,2.3,0,0,0,0,0,1,0,0,0,"543;730;1297;1525;1848;2655;2986",0,1.05,0,0,2102564.81,33,11.71,22.35,87.08,68.03,78,2,313.3,76.5,0,86.66,247.4,750.64,1450.38
"Rodentia","Muridae","Brachiones","przewalskii","Brachiones przewalskii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-999",0,0,0,0,40177,42.86,35.46,30.16,102.85,77.15,0,0,5.36,0,0.05,17.27,68.34,70.67,681.81
"Carnivora","Canidae","Canis","mesomelas","Canis mesomelas",2,8247.3,0,707.27,0,0,0,0,6,270,62.5,1,11.03,12.82,273.75,3.8,0,168,177.2,0,0.74,0,241.4,0,8,1,2,34.1,0,0,"542;543;730;1113;1297;1573;2655",0,1.27,0,0,6248770.05,16.47,34.83,0.18,51.41,11.71,31.56,0,30.81,0,0.11,40.27,213.33,661.36,1468.1
"Carnivora","Canidae","Canis","simensis","Canis simensis",3,14361.86,0,38.1,0,0,0,0,1,180,63.61,1,4.2,5.02,365,0,0,0,0,0,1.2,0,754.74,0,8,1,3,60.6,0,0,"542;730;1113;1573;2655",0,1.1,0,0,11402.81,13.31,6.55,0.03,30.06,38.02,38,30,0.87,30,0.15,83.87,0.03,31.35,1471.36
"Rodentia","Spalacidae","Cannomys","badius","Cannomys badius",0,472.07,0,0,0,0,172,344,0,0,41.4,0,0,0,0,2,0,48,0,0,0,0,0,0,0,0,0,50.1,0,0,"543;1297;1822;2655",0,0,0,0,818286,27.85,11.82,10.83,105.88,84.65,5.26,4,86.5,0,0.07,150.67,213.64,1063.45,1473.54
"Rodentia","Cricetidae","Cansumys","canus","Cansumys canus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-999",0,0,0,0,267130.76,35.6,31,33.34,115.62,102.25,108.04,4,218.11,8,0.06,58.53,103.16,742.53,877.6
"Cetacea","Neobalaenidae","Caperea","marginata","Caperea marginata",0,31000000.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1297;2655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Artiodactyla","Bovidae","Capra","caucasica","Capra caucasica",0,58140.52,0,0,0,0,0,0,0,0,155,0,0,0,0,1,0,264,0,0,0,0,1015,0,3,0,0,0,0,0,"543;1297;1525;1848;2555;2655",0,0,0,0,32781.87,43.82,40.83,42.33,48.52,40,44.26,0,40.22,10.5,0.02,57.31,0.8,612.18,710.43
"Artiodactyla","Bovidae","Capra","falconeri","Capra falconeri",3,54303.37,0,1500,0,730,0,0,2,0,167.08,1,0,0,0,1.73,0,168,0,0,0,11,1015,0,0,1,1,167.2,0,0,"511;543;899;1297;1525;1848;2555;2655",0,0,0,0,155075.85,38,28.84,33.87,75.48,65.04,70.26,4,88.36,12,0.16,22.18,108.54,340.32,1154.28
"Artiodactyla","Bovidae","Capra","hircus","Capra hircus",0,47386.47,0,0,0,660.16,0,0,2,0,156,0,8.3,47.24,365,1.45,0,240.6,2136.11,375.56,7.58,0,408.07,0,3,0,1,158.04,0,0,"453;543;730;1052;1297;1525;1573;1594;1598;1848;2555;2655;2986",0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Artiodactyla","Bovidae","Capra","ibex","Capra ibex",0,60546.83,0,0,0,12.5,0,0,2,0,167.5,1,0,0,547.5,1.11,0,267.6,2770.07,0,0,0,838.54,0,3,1,1,111.75,15683.3,0,"511;543;1297;1525;1763;1848;2555;2655",0,0.8,0,0,145008.13,47,43.76,45.83,15.5,4.76,10.13,12,135.27,26,0.03,87.78,42.76,586.2,627.4
"Erinaceomorpha","Erinaceidae","Atelerix","algirus","Atelerix algirus",1,3.08,0,214.76,0,0,0,0,3,0,30.25,0,0,0,0,2.5,2,84,0,0,0,0,0,0,0,0,2,30.7,0,0,"543;678;1456;2408;2655;2786",0,0,0,0,815320.8,37.34,30.13,33.74,21.77,0.8,5.04,1,5.57,3,0.11,26.26,167.5,327.17,1147.5
"Erinaceomorpha","Erinaceidae","Atelerix","frontalis","Atelerix frontalis",1,320.12,0,181.82,10,0,0,0,6,0,37.13,1,0,0,0,4,1.5,0,10.55,52.6,0,0,411.43,1,6,1,2,34.8,0,0,"678;1109;1297;1455;1456;2408;2629;2655;2786",0,0,0,0,1407008.13,12.43,33.62,23.03,31,11.76,21.42,0,16.7,1,0.1,42.24,186,578.5,1322.65
"Erinaceomorpha","Erinaceidae","Atelerix","sclateri","Atelerix sclateri",1,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"678;1456",66.17,0,0,0,108274.28,11.08,6.32,0.15,51.41,45.44,48.42,1,5.05,2,0.04,12.2,245.23,155.21,1766.15
"Primates","Atelidae","Ateles","belzebuth","Ateles belzebuth",3,6602.42,0,450.3,0,0,0,0,2,0,138.2,1,2.28,3.24,0,1.02,0,336,0,0,13.4,0,0,14.5,0,2,1,0,0,0,"208;543;730;890;1297;1544;1547;1848;2151;2308;2344;2463;2655;2660;2912;2986",0,0,0,0,1030364.23,4.08,4.08,0.44,60.12,78.54,60.33,0,2.7,0,0.11,227.01,257.68,1403.34,1512.06
"Primates","Atelidae","Ateles","chamek","Ateles chamek",3,7053.02,0,454.28,0,0,0,0,2,0,0,1,1.16,0,0,0,0,0,0,0,3.3,0,0,0,0,2,1,0,0,0,"1544;1547;1848;2145;2151;2251;2655;2912",0,0,0,0,2.31,2.58,11.43,7.01,62.25,77.21,60.73,0,1.62,0,0.1,104.51,254.07,1504.72,1560.06
"Primates","Atelidae","Ateles","fusciceps","Ateles fusciceps",3,67.04,0,480.15,0,1773,0,0,2,0,224.7,1,0,0,851.66,1.01,0,288,400,0,0,0,1700.68,0,0,2,1,482.7,0,0,"208;543;1297;1544;1547;1848;2151;2344;2489;2493;2655;2660;2986",0,0.71,0,0,201570.73,11.11,1.77,6.44,73.02,70.12,76.52,3,85.03,4,0.11,220.34,240.81,1483.74,1654.37
"Primates","Atelidae","Ateles","geoffroyi","Ateles geoffroyi",3,7582.4,0,433.07,0,2080.5,0,0,2,0,226.37,1,0.73,1.07,1048.15,1.01,0,327.6,425.85,0,10.06,0,2104.57,42,0,2,1,816.35,3478.06,0,"208;730;1297;1544;1547;1763;1767;1848;2145;2151;2344;2463;2488;2489;2493;2655;2660;2912;2986",0,0.64,0,0,806600.1,24,0.67,12.38,70.23,8.85,84.54,2,55.14,4,0.14,153.03,243.16,1344.08,1624.04
"Primates","Atelidae","Ateles","hybridus","Ateles hybridus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-999",0,0,0,0,144643.82,11.35,6.26,8.8,66.36,75.27,70.82,1,54,1,0.13,114.72,255.57,1343.77,1685.22
"Primates","Atelidae","Ateles","marginatus","Ateles marginatus",3,6220.28,0,460.27,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,"1544;1848;2151;2655",0,0,0,0,831855.4,0.54,8.84,4.6,47.7,64.33,56.01,0,4.83,0,0.11,160.03,252.71,1421.4,1502.48
"Primates","Atelidae","Ateles","paniscus","Ateles paniscus",3,8607.25,0,575.06,0,1825,0,0,6,0,228.18,1,1.36,2.1,1072.18,1,0,453.6,478.64,0,8,0,2104.57,20,0,2,2,805.41,2753.17,0,"208;543;730;890;1201;1297;1544;1547;1763;1767;1768;1848;2151;2344;2463;2488;2489;2493;2655;2660;2912;2986;3086",0,0.63,0,0,802635.1,7.28,3.14,2.06,50.44,61.85,56.14,0,3.25,0,0.08,157.6,255.77,1456.6,1606.86
"Primates","Pitheciidae","Callicebus","moloch","Callicebus moloch",3,58.13,0,358.65,0,1005,0,0,3,0,164,1,0.02,0.03,365,1.01,0,303.6,74.4,125,18.43,0,1262.74,2.05,0,2,2,58.85,0,0,"208;543;730;890;1297;1512;1547;1605;1768;1848;2151;2344;2464;2489;2493;2520;2655;2660;2986",0,1.1,0,0,11442.78,1.3,14.1,7.7,48.1,58.2,53.24,0,2.4,0,0.13,174.03,246.08,1330.45,1530.2
"Primates","Pitheciidae","Callicebus","nigrifrons","Callicebus nigrifrons",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-999",0,0,0,0,513267,16.37,24.44,20.4,41.86,51.33,46.6,3,136.21,5,0.05,128.2,203.7,1160.18,1370.31
"Primates","Pitheciidae","Callicebus","oenanthe","Callicebus oenanthe",3,2.4,0,0,0,0,0,0,0,0,0,1,0,0,0,1.02,0,0,0,0,0,0,0,1,0,2,0,0,0,0,"1605;1633;2151;2655",0,0,0,0,5807.21,5.16,5.08,5.57,76.06,77.67,77.31,2,8.33,2,0.06,130.67,220.5,1287.01,1304
"Primates","Pitheciidae","Callicebus","olallae","Callicebus olallae",3,2.4,0,0,0,0,0,0,0,0,0,1,0,0,0,1.02,0,0,0,0,0,0,0,1,0,2,0,0,0,0,"1605;1633;2151;2655",0,0,0,0,17288.42,14.25,15.67,14.06,65.03,67.3,66.66,1,2.76,1,0.47,110.01,225.42,1432.14,1548.82
"Primates","Pitheciidae","Callicebus","ornatus","Callicebus ornatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-999",0,0,0,0,23066.07,4.38,2.18,3.28,73.68,74.77,74.23,1,104.04,1,0.12,130.8,200.3,1484.71,1507.5
"Primates","Pitheciidae","Callicebus","pallescens","Callicebus pallescens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-999",0,0,0,0,3328.33,16.3,21.2,18.84,57.52,61.25,50.3,0,0.63,0,0.1,86.34,258.42,1071.44,1315.57
"Primates","Pitheciidae","Callicebus","personatus","Callicebus personatus",3,1300.8,0,362.4,0,0,0,0,4,0,0,1,0.03,0.05,0,1.01,0,0,0,0,13.03,0,0,2.35,0,2,1,0,0,0,"890;899;1544;1547;1605;1848;2145;2151;2344;2464;2655;2660;2986",0,0,0,0,172664.46,16.02,22.48,10.25,30.58,43.08,41.33,7,47.74,11,0.06,107.3,212.34,1204.53,1458.54
"Primates","Pitheciidae","Callicebus","purinus","Callicebus purinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Primates","Pitheciidae","Callicebus","regulus","Callicebus regulus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Primates","Pitheciidae","Callicebus","stephennashi","Callicebus stephennashi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Primates","Pitheciidae","Callicebus","torquatus","Callicebus torquatus",3,1200.57,0,204,0,0,0,0,4,0,0,1,0.11,0.14,0,1.01,0,0,0,0,10.2,0,1683.65,3.85,0,2,2,121.66,0,0,"208;730;890;1297;1544;1547;1605;1848;2151;2251;2344;2464;2520;2655;2660;2986",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Primates","Cebidae","Callimico","goeldii","Callimico goeldii",3,558,0,280,0,401.83,0,0,2,0,153,1,0.32,0.45,182.5,1.05,0,214.8,50.5,0,2.08,0,413.84,6.85,0,2,2,66.53,120.02,0,"543;890;905;1125;1297;1320;1544;1547;1611;1767;1848;2151;2251;2344;2489;2493;2655;2660",0,1.56,0,0,462022.05,0.07,11.64,5.33,67.04,77.15,72.1,0,3,0,0.11,200.1,250.78,1476.2,1518.11
"Rodentia","Echimyidae","Callistomys","pictus","Callistomys pictus",0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2655",0,0,0,0,37773.01,11.33,13.77,12.55,37.36,30.75,38.55,17,211.5,20,0.08,123.66,230.11,1250.37,1682.01
"Primates","Cebidae","Callithrix","acariensis","Callithrix acariensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-999",0,0,0,0,70622.42,8.06,11.18,0.62,61.58,65.11,63.34,1,7.5,1,0.43,178,246.16,1320.16,1576.85
"Primates","Cebidae","Callithrix","argentata","Callithrix argentata",3,382.02,0,0,0,600.55,0,0,4,0,0,1,0,0,210.6,1.84,0,201.6,35.8,0,7.52,0,701.52,0.5,0,2,2,0,0,0,"543;730;890;905;1297;1544;1547;1768;2151;2344;2493;2655;2725;2986",0,1.42,0,0,123514,1,5,3,40.38,55.24,52.31,1,3.87,1,0.13,171.85,254.42,1412.78,1614.3
"Primates","Cebidae","Callithrix","aurita","Callithrix aurita",3,386.2,0,230,0,0,0,0,3,0,140,1,0.08,0,0,2,0,0,0,0,0,0,0,6,0,2,2,0,0,0,"899;1544;1547;2151;2344;2655;2725",0,0,0,0,87653.4,21.66,24.65,23.15,40.07,40.07,45.02,14,308.77,24,0.06,148.06,188.1,1243.75,1370.4
"Primates","Cebidae","Callithrix","chrysoleuca","Callithrix chrysoleuca",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2344;2725",0,0,0,0,60733.28,3.51,8.03,5.77,58.34,60.52,50.43,0,0.44,0,0.14,170,258.62,1453.35,1508.7
"Primates","Cebidae","Callithrix","emiliae","Callithrix emiliae",0,300.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1547;2986",0,0,0,0,160568.07,5.54,13.4,0.52,53.34,56.05,54.7,0,1.68,1,0.17,103.5,240.26,1201.21,1525
"Primates","Cebidae","Callithrix","flaviceps","Callithrix flaviceps",3,372.07,0,230,0,0,0,0,3,0,140,1,0.22,0,0,2,0,0,0,0,11.85,0,0,0.8,0,2,2,0,0,0,"899;1544;1547;2151;2344;2655;2725",0,0,0,0,27330.8,20.3,21.02,21.16,40.81,43.12,41.06,36,56.38,37.5,0.05,111.78,200.81,1103.67,1308.02
"Primates","Cebidae","Callithrix","geoffroyi","Callithrix geoffroyi",3,342,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"1547;2151;2344;2655;2725;2986",0,0,0,0,132745.3,16,21.07,18,30.13,43.62,41.38,11,47.67,14,0.06,108.43,216.05,1237.04,1455.44
"Primates","Cebidae","Callithrix","humeralifera","Callithrix humeralifera",3,374,0,0,0,0,0,0,4,0,0,1,0.1,0.13,0,0,0,180,34.5,0,28.32,0,0,8.5,0,2,2,0.01,0,0,"543;730;890;905;1125;1297;1544;1547;2151;2344;2520;2655;2660;2725;2986",0,0,0,0,120628,2.27,8.45,5.36,55.4,60.5,57.05,0,1.68,0,0.12,163.67,258.66,1433.66,1605.81
"Primates","Cebidae","Callithrix","humilis","Callithrix humilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-999",0,0,0,0,21230.4,5.25,7.65,6.45,60.13,61.4,60.81,0,0.6,0,0,172.58,260.07,1483.02,1601.22
"Primates","Cebidae","Callithrix","intermedia","Callithrix intermedia",3,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,2,0,0,0,0,10.07,0,0,11.5,0,0,0,0,0,0,"1547;2520;2725",0,0,0,0,73178.5,4.13,11.05,8.04,50.01,60.88,50.05,0,0.3,0,0.53,170.43,240.52,1334.37,1536.27
"Primates","Cebidae","Callithrix","jacchus","Callithrix jacchus",3,200.21,0,0,0,555.1,152,100,5,0,144,1,0.02,0,150.8,2.31,0,201.6,27.74,0,508.18,0,455,8.55,0,2,2,60.24,6.82,0,"208;543;579;730;890;905;1297;1299;1544;1547;1577;1594;1611;1822;2151;2344;2489;2493;2511;2520;2552;2655;2660;2725;2986",0,1.67,0,0,604264.4,2.78,10.38,6.58,34.7,45.78,40.28,1,61.47,2,0.06,0.3,240.02,12.68,1488.61
